bench_ts,storage,size,file_type,operation,objects,size_mb,generate_seconds,generate_mbps,upload_seconds,upload_mbps,download_seconds,download_mbps,list_seconds,query_filter_region,query_start_ts,query_end_ts,query_grouped_by,query_seconds,query_rows,query_result_groups
2026-05-20T18:44:00.320309+00:00,minio,M,parquet,query,,,,,,,,,,Switzerland,10.04.2026,20.04.2026,event_type,0.6,415753,4
2026-05-20T18:45:44.713977+00:00,minio,M,csv,generate+upload+download+list+query,5,1494.12,0,6266805136,2.27,658.25,1.683,887.86,0.031,Switzerland,10.04.2026,20.04.2026,event_type,4.949,415233,4
2026-05-20T18:46:04.323167+00:00,minio,L,csv,generate+upload+download+list+query,20,5976.46,0,25067096600,9.41,635.11,6.336,943.31,0.031,Switzerland,10.04.2026,20.04.2026,event_type,12.248,1665903,4
2026-05-20T18:46:32.422832+00:00,minio,L,parquet,generate+upload+download+list+query,20,1578.44,0,6620470956,3.886,406.14,2.057,767.23,0.023,Switzerland,10.04.2026,20.04.2026,event_type,1.229,1665903,4
2026-05-20T18:47:11.525884+00:00,azure,S,csv,generate+upload+download+list+query,1,298.82,0,1253360324,211.473,1.41,201.412,1.48,0.047,Switzerland,10.04.2026,20.04.2026,event_type,214.888,83284,4
2026-05-20T18:57:41.639098+00:00,azure,S,parquet,generate+upload+download+list+query,1,78.92,0,165507582,106.797,0.74,68.193,1.16,0.04,Switzerland,10.04.2026,20.04.2026,event_type,15.08,83284,4
2026-05-20T19:13:57.659758+00:00,aws,S,csv,generate+upload+download+list+query,1,298.82,0,1253360324,265.939,1.12,40.894,7.31,1.233,Switzerland,10.04.2026,20.04.2026,event_type,82.855,83284,4
2026-05-20T19:20:31.945325+00:00,aws,S,parquet,generate+upload+download+list+query,1,78.92,0,331015164,58.781,1.34,7.127,11.07,0.412,Switzerland,10.04.2026,20.04.2026,event_type,4.454,83284,4
2026-05-20T19:57:31.245250+00:00,azure,M,csv,list+query,5,1494.12,,,,,,,0.091,Switzerland,10.04.2026,20.04.2026,event_type,1024.522,415233,4
2026-05-20T20:14:38.248521+00:00,azure,M,parquet,list+query,5,394.61,,,,,,,0.135,Switzerland,10.04.2026,20.04.2026,event_type,156.982,415233,4
2026-05-20T20:17:57.834297+00:00,aws,M,csv,list+query,5,1494.12,,,,,,,0.41,Switzerland,10.04.2026,20.04.2026,event_type,1308.189,415233,4
2026-05-20T20:39:50.852465+00:00,aws,M,parquet,list+query,5,394.61,,,,,,,0.454,Switzerland,10.04.2026,20.04.2026,event_type,94.58,415233,4
2026-05-20T20:45:30.256989+00:00,azure,L,csv,list+query,20,5976.46,,,,,,,0.109,Switzerland,10.04.2026,20.04.2026,event_type,1998.418,1665903,4
2026-05-20T21:18:50.972870+00:00,azure,L,parquet,list+query,20,1578.44,,,,,,,0.104,Switzerland,10.04.2026,20.04.2026,event_type,219.619,1665903,4
2026-05-20T21:23:56.630527+00:00,aws,L,csv,list+query,20,5976.46,,,,,,,0.39,Switzerland,10.04.2026,20.04.2026,event_type,2136.797,1665903,4
